genNum	maxFit	avgFit	bestPhrase
309	0.81818	0.76364	Hll/o world
310	0.81818	0.78545	Hpl/o world
311	0.81818	0.77	Hpl/o world
312	0.81818	0.78864	Hll/o world
313	0.81818	0.77273	Hll/o world
314	0.81818	0.79727	Hpl/o world
315	0.81818	0.76136	Hpl/o world
316	0.81818	0.76091	Hpl/o world
317	0.81818	0.75682	Hpl/o world
318	0.90909	0.78682	Hel/o world
319	0.90909	0.77409	Hel/o world
320	0.90909	0.77773	Hel/o world
321	0.90909	0.795	Hel/o world
322	0.81818	0.79091	Hpl/o world
323	0.81818	0.77818	Hll/o world
324	0.81818	0.76818	Hpl/o world
325	0.81818	0.79409	Hpl/o world
326	0.81818	0.80773	Hpl/o world
327	0.81818	0.79	Hll/o world
328	0.81818	0.80182	Hpl/o world
329	0.81818	0.79409	Hpl/o world
330	0.81818	0.76	Hpl/o world
331	0.81818	0.77909	Hll/o world
332	0.81818	0.79955	Hpl/o world
333	0.81818	0.78318	Hll/o world
334	0.81818	0.78818	Hll/o world
335	0.81818	0.75545	Hll/o world
336	0.81818	0.78909	Hll/o world
337	0.81818	0.80364	Hpl/o world
338	0.81818	0.76864	Hll/o world
339	0.81818	0.78273	Hll/o world
340	0.81818	0.79136	HFl/o world
341	0.81818	0.78136	Hll/o world
342	0.81818	0.77545	Hpl/o world
343	0.81818	0.80591	HFl/o world
344	0.81818	0.74364	Hll/o world
345	0.81818	0.76864	Hll/o world
346	0.81818	0.78727	Hll/o world
347	0.81818	0.79773	Hll/o world
348	0.81818	0.75273	Hll/o world
349	0.81818	0.76409	Hll/o world
350	0.81818	0.80682	Hll/o world
351	0.81818	0.79682	Hll/o world
352	0.81818	0.77818	Hll/o world
353	0.81818	0.77909	Hll/o world
354	0.81818	0.76909	Hll6o world
355	0.81818	0.77	Hll/o world
356	0.81818	0.76227	Hxl/o world
357	0.81818	0.75909	HFl/o world
358	0.81818	0.77	HMl/o world
359	0.81818	0.75727	Hll/o world
360	0.81818	0.76682	Hll/o world
361	0.81818	0.78045	Hxl/o world
362	0.81818	0.78864	Hll/o world
363	0.81818	0.80045	Hll/o world
364	0.81818	0.75	Hll/o world
365	0.81818	0.75455	Hll/o world
366	0.81818	0.73045	Hsl/o world
367	0.81818	0.74909	Hll/o world
368	0.81818	0.80455	Hll/o world
369	0.81818	0.78409	Hll/o world
370	0.81818	0.79409	Hll/o world
371	0.81818	0.79545	Hll/o world
372	0.81818	0.78273	Hll/o world
373	0.81818	0.78545	Hll/o world
374	0.81818	0.79909	H2l/o world
375	0.81818	0.79136	Hll/o world
376	0.81818	0.77273	Hll/o world
377	0.81818	0.77318	H2l/o world
378	0.81818	0.79773	Hll/o world
379	0.81818	0.73091	Hll/o world
380	0.81818	0.79909	Hll/o world
381	0.81818	0.78682	H2l/o world
382	0.81818	0.77273	Hll/o world
383	0.81818	0.77545	Hll/o world
384	0.81818	0.76909	Hll/o world
385	0.81818	0.77591	H2l/o world
386	0.81818	0.75455	Hll/o world
387	0.81818	0.76909	Hll/o world
388	0.81818	0.76	Hll/o world
389	0.81818	0.76455	Hll/o world
390	0.81818	0.76955	Hll)o world
391	0.81818	0.77182	Hll)o world
392	0.81818	0.76682	H2l)o world
393	0.81818	0.75545	H2l)o world
394	0.81818	0.76	H2l/o world
395	0.81818	0.79136	H2l/o world
396	0.90909	0.75	H2llo world
397	0.81818	0.76409	H2l/o world
398	0.81818	0.71545	Hll)o world
399	0.81818	0.75182	Hll/o world
400	0.81818	0.78136	H2l/o world
401	0.81818	0.78455	Hll/o world
402	0.81818	0.77273	Hll/o world
403	0.81818	0.77227	H2l/o world
404	0.81818	0.77909	Hll)o world
405	0.81818	0.76591	H2l/o world
406	0.81818	0.74045	H2l/o world
407	0.90909	0.73318	H2llo world
408	0.90909	0.78909	HUllo world
409	0.90909	0.78455	HUllo world
410	0.90909	0.75227	H2llo world
411	0.90909	0.78545	Hlllo world
412	0.81818	0.74864	HGl/o world
413	0.81818	0.77136	Hll/o world
414	0.81818	0.78318	HGl/o world
415	0.81818	0.76864	H2l/o world
416	0.81818	0.78864	HGl/o world
417	0.81818	0.78136	Hll/o world
418	0.81818	0.78955	H2l/o world
419	0.81818	0.79364	HGl/o world
420	0.81818	0.77636	HGl/o world
421	0.81818	0.76955	HGl/o world
422	0.81818	0.77727	H2l/o world
423	0.81818	0.79409	HGl/o world
424	0.81818	0.785	H2l/o world
425	0.81818	0.78591	HGl/o world
426	0.81818	0.765	HGl7o world
427	0.81818	0.75955	H2l/o world
428	0.81818	0.77	HGl/o world
429	0.81818	0.79045	H2l/o world
430	0.81818	0.78182	H2l/o world
431	0.81818	0.76273	HGl/o world
432	0.81818	0.79273	HGl/o world
433	0.81818	0.74409	HGl/o world
434	0.81818	0.75455	HGl/o world
435	0.81818	0.74545	HGl/o world
436	0.81818	0.77545	HGl/o world
437	0.81818	0.73409	HGl/o world
438	0.81818	0.79409	H@l/o world
439	0.81818	0.78045	H@l/o world
440	0.81818	0.77364	HGl/o world
441	0.81818	0.77727	HGl/o world
442	0.81818	0.76591	HGl/o world
443	0.81818	0.79727	HGl/o world
444	0.81818	0.78273	HGl/o world
445	0.81818	0.78773	HGl/o world
446	0.81818	0.79045	H@l/o world
447	0.81818	0.79318	HGl/o world
448	0.81818	0.77727	HGl,o world
